Epact,D.L.,Day,Feast,Rank,Month
*,A,1,The Circumcision of Our Lord,D2,1
,,,(Octave Day of the Nativity),,1
xxix,b,2,Octave Day of St. Stephen,S,1
xxviii,c,3,Most Holy Name of Jesus,D2,1
,,,"Octave Day of St. John, Apostle & Evangelist",S,1
xxvii,d,4,Octave Day of the Holy Innocents,S,1
,,,"St. Titus, Bishop & Confessor",M,1
xxvi,e,5,The Vigil of the Epiphany,V2,1
,,,"St. Telesphorus of Rome, Bishop & Martyr",M,1
25 xxv,f,6,The Epiphany of Our Lord,"D1, O2",1
xxiv,g,7,Day II within the Octave of the Epiphany,Sd,1
xxiii,A,8,Day III within the Octave of the Epiphany,Sd,1
xxii,b,9,Day IV within the Octave of the Epiphany,Sd,1
xxi,c,10,Sunday within the Octave of the Epiphany,Sd,1
,,,Day V within the Octave of the Epiphany,Sd,1
,,,St. Paul the First Hermit,M,1
xx,d,11,Day VI within the Octave of the Epiphany,Sd,1
,,,"St. Hyginus of Rome, Bishop & Martyr",M,1
xix,e,12,Day VII within the Octave of the Epiphany,Sd,1
,,,"St. Benedict Biscop, Abbot",M,1
xviii,f,13,Octave Day of the Epiphany,Gd,1
,,,(Baptism of Our Lord),,1
xvii,g,14,"St. Hilary, Bishop, Confessor & Doctor",D,1
,,,"St. Felix of Nola, Priest & Martyr",M,1
xvi,A,15,"St. Maurus, Abbot",Gd,1
xv,b,16,Saturday Office of the B.V.M.,S,1
,,,"St. Marcellus of Rome, Bishop & Martyr",M,1
xiv,c,17,II Sunday after the Epiphany,Sd,1
,,,"St. Anthony, Abbot",D,1
xiii,d,18,Chair of St. Peter in Rome,Gd,1
,,,Commemoration of St. Paul,Comm,1
,,,"St. Prisca of Rome, Virgin Martyr",M,1
xii,e,19,"Ss. Marius, Martha, Audifax, & Abachum, Martyrs",M,1
,,,"St. Mark of Ephesus, Bishop & Confessor",M,1
xi,f,20,"Ss. Fabian (Bishop) & Sebastian, Martyrs",D,1
x,g,21,"St. Agnes of Rome, Virgin & Martyr",Gd,1
ix,A,22,"Ss. Vincent (Deacon) & Anastasius, Martyrs",M,1
viii,b,23,Saturday Office of the B.V.M.,S,1
,,,"St. Emerentiana, Virgin & Martyr",M,1
vii,c,24,III Sunday after the Epiphany,Sd,1
,,,"St. Timothy, Bishop & Martyr",D,1
vi,d,25,The Conversion Of St. Paul The Apostle,Gd,1
,,,Commemoration of St. Peter,Comm,1
v,e,26,"St. Polycarp of Smyrna, Bishop & Martyr",M,1
iv,f,27,"St. John Chrysostom, Bishop, Confessor & Doctor",D,1
iii,g,28,"St. Cyril of Alexandria, Bishop, Confessor, & Doctor",D,1
,,,"The Second Feast of St. Agnes, Virgin Martyr",M,1
ii,A,29,,,1
i,b,30,Saturday Office of the B.V.M.,S,1
,,,"St. Martina, Virgin & Martyr",M,1
*,c,31,IV Sunday after the Epiphany,Sd,1
xxix,d,1,"St. Ignatius of Antioch, Bishop & Martyr",D,2
,,,"St. Bridget of Ireland, Virgin",M,2
xxviii,e,2,Purification of the B.V.M.,D2,2
xxvii,f,3,"St. Blaise, Bishop & Martyr",M,2
25.,g,4,The New Martyrs of Russia,M,2
,,,"St. Joseph of Aleppo, Martyr",M,2
xxv,A,5,"St. Agatha, Virgin & Martyr, Abbot",Gd,2
xxiii,b,6,Saturday Office of the B.V.M.,S,2
,,,"St. Dorothy, Virgin & Martyr",M,2
xxii,c,7,V Sunday after the Epiphany,Sd,2
,,,"St. Romuald, Abbot",D,2
xxi,d,8,,,2
