Epact,D.L.,Day,Feast,Rank,Month
*,A,1,Circumcision of Our Lord,D2,1
,,,(Octave Day of the Nativity),,1
,,,Most Holy Name of Jesus,D2,1
,,,(Sunday between the Circumcision and the Epiphany),,1
xxix,b,2,"Octave Day of St. Stephen, Protomartyr",S,1
xxviii,c,3,"Octave Day of St. John, Ap. Ev.",S,1
xxvii,d,4,Octave Day of the Holy Innocents,S,1
,,,"St Titus, B.C.",M,1
xxvi,e,5,Vigil of the Epiphany,V2,1
,,,"St. Telesphorus of Rome, B.M.",M,1
25 xxv,f,6,Epiphany of Our Lord,"D1, O2",1
xxiv,g,7,Day II Within the Octave of the Epiphany,Sd,1
xxiii,A,8,Day III Within the Octave of the Epiphany,Sd,1
xxii,b,9,Day IV Within the Octave of the Epiphany,Sd,1
xxi,c,10,Day V Within the Octave of the Epiphany,Sd,1
,,,St. Paul the First Hermit,M,1
xx,d,11,Day VI Within the Octave of the Epiphany,Sd,1
,,,"St. Hyginus of Rome, B.M.",M,1
xix,e,12,Day VII Within the Octave of the Epiphany,Sd,1
,,,"St. Benedict Biscop, Ab.",M,1
xviii,f,13,Octave Day of the Epiphany,Gd,1
,,,(Baptism of Our Lord),,1
xvii,g,14,"St. Hilary, B.C.D",D,1
,,,"St. Felix of Nola, Pr.M.",M,1
xvi,A,15,"St. Maurus, Ab.",Gd,1
xv,b,16,"St. Marcellus of Rome, B.M.",M,1
xiv,c,17,"St. Anthony of Egypt, Ab.",D,1
xiii,d,18,Chair of St. Peter in Rome,Gd,1
,,,"Commemoration of St Paul, Ap.",Comm,1
,,,"St Prisca of Rome, V.M.",M,1
xii,e,19,"Ss. Marius, Martha, Audifax & Abachum, Mm.",M,1
,,,"St. Mark of Ephesus, B.C.",M,1
xi,f,20,"Ss. Fabian (Bishop) & Sebastian, Mm.",D,1
x,g,21,"St. Agnes of Rome, V.M.",Gd,1
ix,A,22,"St. Vincent, M.",M,1
viii,b,23,"St. Emerentiana, V.M.",M,1
vii,c,24,"St. Timothy, B.M.",D,1
vi,d,25,"Conversion of St. Paul, Ap.",Gd,1
,,,Commemoration of St Peter,Comm,1
v,e,26,"St. Polycarp of Smyrna, B.M.",M,1
iv,f,27,"St. John Chrysostom, B.C.D.",D,1
iii,g,28,"St. Cyril of Alexandria, B.C.D.",D,1
,,,Second Feast of St Agnes,M,1
ii,A,29,,,1
i,b,30,"St. Martina, V.M.",M,1
*,c,31,,,1
xxix,d,1,"St. Ignatius of Antioch, B.M.",D,2
,,,"St. Bridget of Ireland, V.",M,2
xxviii,e,2,Purification of the B.V.M.,D2,2
xxvii,f,3,"St. Blaise, B.M.",M,2
25.,g,4,"St. Joseph of Aleppo, M.",M,2
xxvi,,,"New Martyrs of Russia, Mm.",M,2
xxv,A,5,"St. Agatha, V.M.",Gd,2
xxiv,,,,,2
xxiii,b,6,"St. Dorothea, V.M.",M,2
,,,"St. Photius, B.C.",M,2
xxii,c,7,"St. Romuald, Ab.",D,2
xxi,d,8,,,2
xx,e,9,"St. Apollonia of Alexandria, V.M.",M,2
xix,f,10,"St. Scholastica, V.",Gd,2
xviii,g,11,"St. Gregory II, B.C.",M,2
xvii,A,12,,,2
xvi,b,13,,,2
xv,c,14,"St. Valentine, Pr.M.",M,2
xiv,d,15,"Ss. Faustinus & Jovita, Mm.",M,2
xiii,e,16,,,2
xii,f,17,,,2
xi,g,18,"St. Simeon of Jerusalem, B.M.",M,2
x,A,19,,,2
ix,b,20,,,2
viii,c,21,,,2
vii,d,22,Chair of St. Peter at Antioch,D2,2
,,,Commemoration of St. Paul,Comm,2
vi,e,23,Vigil of St. Matthias,V,2
v,f,24,"St. Matthias, Ap.",D2,2
iv,g,25,"St. Walburga of Heidenheim, V.",M,2
iii,A,26,"St. Alexander of Alexandria, B.C.",M,2
ii,b,27,"St. Raphael of Brooklyn, B.C.",Gd,2
i,c,28,,,2
*,d,1,"St. David of Wales, B.C.",M,3
